,budget,genres,keywords,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,year,month,return_rate
91,165000000,"['Action', 'Adventure', 'Science Fiction']","['alternate history', 'alien invasion']","We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",48.775723,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'TSG Entertainment', 'Stereo D']",['United States of America'],2016-06-22,389681935,120.0,['English'],We had twenty years to prepare. So did they.,4.9,2491,"[""['Liam Hemsworth'"", "" 'Jeff Goldblum'""]",Roland Emmerich,2016,06,136.17086969696967
92,165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']","['flying', 'blacksmith', 'arena', 'island', 'night', 'ship', 'training', 'village', 'forest', 'viking', 'friendship', 'ignorance', 'flight', 'nest', 'dragon', 'battle', 'combat', 'well', 'warrior']","As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",67.263269,"['DreamWorks Animation', 'Vertigo Entertainment', 'Mad Hatter Entertainment']",['United States of America'],2010-03-05,494878759,98.0,['English'],One adventure will change two worlds,7.5,4227,"[""['Jay Baruchel'"", "" 'Gerard Butler'""]",Chris Sanders,2010,03,199.92652060606062
95,165000000,"['Adventure', 'Drama', 'Science Fiction']","['saving the world', 'artificial intelligence', 'father son relationship', 'single parent', 'nasa', 'expedition', 'wormhole', 'space travel', 'famine', 'black hole', 'dystopia', 'race against time', 'quantum mechanics', 'spaceship', 'space', 'rescue', 'family relationships', 'farmhouse', 'robot', 'astronaut', 'scientist', 'father daughter relationship', 'single father', 'farmer', 'space station', 'imax', 'astrophysics', 'zero gravity', 'courage', 'time paradox', 'relativity']",Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","['Canada', 'United States of America', 'United Kingdom']",2014-11-05,675120017,169.0,['English'],Mankind was born on Earth. It was never meant to die here.,8.1,10867,"[""['Matthew McConaughey'"", "" 'Jessica Chastain'""]",Christopher Nolan,2014,11,309.16364666666664
97,15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']","['monster', 'godzilla', 'giant monster', 'destruction', 'kaiju', 'toyko']","From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-tag team of volunteers cuts through a web of red tape to uncover the monster's weakness and its mysterious ties to a foreign superpower.  But time is not on their side - the greatest catastrophe to ever befall the world is about to evolve right before their very eyes.",9.476999000000001,"['Cine Bazar', 'Toho Pictures']",['Japan'],2016-07-29,77000000,120.0,"['Italiano', 'Deutsch', 'English', '日本語']",A god incarnate. A city doomed.,6.5,143,"[""['Hiroki Hasegawa'"", "" 'Yutaka Takenouchi'""]",Hideaki Anno,2016,07,413.33333333333337
99,38000000,"['Action', 'Crime', 'Thriller']","['street gang', 'car race', 'undercover', 'auto-tuning', 'los angeles', 'car', 'automobile racing', 'aftercreditsstinger', 'duringcreditsstinger']","Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.",6.909942,"['Universal Pictures', 'Original Film', 'Ardustry Entertainment', 'Mediastream Film GmbH & Co. Productions KG']","['Germany', 'United States of America']",2001-06-22,207283925,106.0,['English'],Live life 1/4 mile at a time.,6.6,3428,"[""['Paul Walker'"", "" 'Vin Diesel'""]",Rob Cohen,2001,06,445.48401315789476
100,150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']","['diary', 'navy', 'funeral', 'tea', 'travel', 'hospital']","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",60.269279000000004,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",['United States of America'],2008-11-24,333932083,166.0,['English'],"Life isn't measured in minutes, but in moments.",7.3,3292,"[""['Cate Blanchett'"", "" 'Brad Pitt'""]",David Fincher,2008,11,122.62138866666668
101,160000000,"['Action', 'Science Fiction', 'Adventure']","['cia', 'mutant', 'mine', 'marvel comic', 'superhero', 'based on comic book', 'superhuman', 'historical fiction', 'nuclear war', 'cuban missile crisis', 'world war iii', '1960s']","Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",3.195174,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Dune Entertainment III', 'Marvel Entertainment', 'Bad Hat Harry Productions', 'Big Screen Productions']",['United States of America'],2011-05-24,353624124,132.0,"['Deutsch', 'English', 'Español', 'Français', 'Pусский']",Witness the moment that will change our world.,7.1,5181,"[""['James McAvoy'"", "" 'Michael Fassbender'""]",Matthew Vaughn,2011,05,121.01507749999998
102,160000000,"['Action', 'Adventure', 'Science Fiction']","['revolution', 'strong woman', 'dystopia', 'game of death', '3d', 'based on young adult novel']","With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",127.28442700000001,"['Studio Babelsberg', 'Lionsgate', 'Color Force']","['Germany', 'United States of America']",2015-11-18,653428261,137.0,['English'],The fire will burn forever.,6.6,3984,"[""['Jennifer Lawrence'"", "" 'Josh Hutcherson'""]",Francis Lawrence,2015,11,308.39266312499996
103,150000000,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']","['witch', 'fire', 'wolf', 'fountain', 'magic', 'book', 'castle', 'water', 'apprentice', 'training', 'merlin', 'love', 'mission', 'sorcerer', 'dragon', 'aftercreditsstinger', 'apprendista', 'morgana']","Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",35.580815,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']",['United States of America'],2010-07-13,215283742,109.0,['English'],It's The Coolest Job Ever.,5.8,1470,"[""['Nicolas Cage'"", "" 'Jay Baruchel'""]",Jon Turteltaub,2010,07,43.52249466666667
104,160000000,"['Adventure', 'Action', 'Drama', 'Thriller']","[""new year's eve"", 'fire', 'drowning', 'cataclysm', 'loss of father', 'atlantic ocean', 'ball', 'self-abandonment', 'shipwreck', 'giant wave', 'blackout', 'ship', 'daughter', 'single', 'escape', 'capsized ship']","A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",21.133748,"['Virtual Studios', 'Next Entertainment', 'Warner Bros.', 'Irwin Allen Productions', 'Radiant Productions', 'Synthesis Entertainment']",['United States of America'],2006-05-12,181674817,99.0,"['English', 'Español']",Mayday,5.5,583,"[""['Kurt Russell'"", "" 'Richard Dreyfuss'""]",Wolfgang Petersen,2006,05,13.546760624999997
105,170000000,['Fantasy'],"['based on novel', 'clock', 'queen', 'sequel', 'alice in wonderland', 'dark fantasy', 'mad hatter', '3d']","In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",56.268916000000004,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D']","['United Kingdom', 'United States of America']",2016-05-25,299370084,113.0,['English'],It's time for a little madness.,6.5,1725,"[""['Johnny Depp'"", "" 'Mia Wasikowska'""]",James Bobin,2016,05,76.10004941176472
107,160000000,"['Action', 'Adventure', 'Fantasy']","['video game', 'elves', 'orcs', 'magic', 'chase', 'based on comic book', 'sorcerer', 'fictional war', 'based on video game', 'wizard', 'fictional language', 'muscles', 'orc', 'sword and sorcery']","The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",63.148529,"['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'Blizzard Entertainment']","['Canada', 'China', 'Japan', 'United States of America']",2016-05-25,433677183,123.0,['English'],Two worlds. One home.,6.3,2268,"[""['Paula Patton'"", "" 'Travis Fimmel'""]",Duncan Jones,2016,05,171.048239375
108,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","['saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future', 'time travel', 'dystopia', 'sequel', 'fiction', 'duringcreditsstinger', '3d']","The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",202.04263500000002,"['Paramount Pictures', 'Annapurna Pictures', 'Skydance Media']",['United States of America'],2015-06-23,440603537,126.0,['English'],Reset the future,5.8,3631,"[""['Arnold Schwarzenegger'"", "" 'Jason Clarke'""]",Alan Taylor,2015,06,184.26034645161292
109,155000000,"['Adventure', 'Family', 'Fantasy']","['based on novel', 'magic', 'good vs evil', 'king', 'narnia', 'fantasy world', 'knife held to throat', 'snowing', 'quest']","This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",49.661984000000004,"['Dune Entertainment', 'Fox 2000 Pictures', 'Walden Media']",['United States of America'],2010-08-13,415686217,113.0,['English'],Return to magic. Return to hope. Return to Narnia.,6.2,1514,"[""['Skandar Keynes'"", "" 'Georgie Henley'""]",Michael Apted,2010,08,168.18465612903225
110,140000000,"['History', 'Romance', 'War']","['nurse', 'patriotism', 'hawaii', 'world war ii', 'pilot', 'pearl harbor', 'u.s. air force', 'airplane', 'war', 'army', 'love', 'pin-up']","The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",34.20669,"['Jerry Bruckheimer Films', 'Touchstone Pictures']",['United States of America'],2001-05-21,449220945,183.0,"['Français', 'English', '日本語']",It takes a moment to change history. It takes love to change lives.,6.6,1791,"[""['Ben Affleck'"", "" 'Josh Hartnett'""]",Michael Bay,2001,05,220.8721035714286
112,155000000,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']","['aristotle', 'egypt', 'greece', 'persia', 'elephant', 'campaign', 'alexander the great', 'homosexuality', 'gay relationship', 'ancient world']","Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",39.019228999999996,"['France 3 Cinéma', 'Intermedia Films', 'Pathé Renn Productions', 'Egmond Film & Television', 'Warner Bros.', 'Pacifica Film', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'WR Universal Group']","['France', 'Germany', 'Italy', 'Netherlands', 'United Kingdom', 'United States of America']",2004-11-21,167298192,175.0,['English'],The greatest legend of all was real.,5.6,927,"[""['Colin Farrell'"", "" 'Angelina Jolie'""]",Oliver Stone,2004,11,7.934317419354842
115,150000000,"['Fantasy', 'Action']","['flying', 'alcohol', ""love of one's life"", 'forbidden love', 'lovers', 'affection', 'advertising expert', 'alcoholism', 'invulnerability', 'superhero', 'pokies', 'duringcreditsstinger']","Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",56.758410999999995,"['Columbia Pictures', 'Weed Road Pictures', 'Forward Pass', 'Relativity Media', 'Overbrook Entertainment', 'Blue Light', 'GH Three']",['United States of America'],2008-07-01,624029371,92.0,"['English', '日本語']",Bad Behavior. Bad Attitude. Real Hero.,6.2,2961,"[""['Will Smith'"", "" 'Charlize Theron'""]",Peter Berg,2008,07,316.0195806666667
116,150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']","['saving the world', 'lost civilisation', 'post-apocalyptic', 'dystopia', 'matter of life and death', 'alone', 'helplessness', 'virus', 'pandemic']","Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",70.867401,"['Village Roadshow Pictures', 'Original Film', 'Weed Road Pictures', 'Warner Bros.', 'Heyday Films', 'Overbrook Entertainment']",['United States of America'],2007-12-14,585349010,101.0,['English'],The last man on Earth is not alone,6.9,4853,"[""['Will Smith'"", "" 'Alice Braga'""]",Francis Lawrence,2007,12,290.2326733333333
117,150000000,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['london england', 'father son relationship', 'chocolate', 'factory worker', 'based on novel', 'parents kids relationship', 'candy', 'overweight child', 'grandfather grandson relationship', 'teacher']","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592000000006,"['Village Roadshow Pictures', 'The Zanuck Company', 'Warner Bros.', 'Tim Burton Productions', 'Plan B Entertainment', 'Theobald Film Productions']","['Australia', 'United Kingdom', 'United States of America']",2005-07-13,474968763,115.0,['English'],Willy Wonka is semi-sweet and nuts.,6.7,3624,"[""['Johnny Depp'"", "" 'Freddie Highmore'""]",Tim Burton,2005,07,216.64584200000002
118,150000000,"['Animation', 'Comedy', 'Family', 'Fantasy']","['paris', 'brother brother relationship', 'expensive restaurant', 'river', 'cook', 'mouse', 'confidence', 'roof', 'window', ""leaving one's family"", 'work', 'restaurant critic', 'kitchen', 'spice', 'court', 'cookbook', 'family', 'chef', 'rat']","A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",65.677399,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2007-06-22,623722818,111.0,['English'],He's dying to become a chef.,7.5,4369,"[""['Patton Oswalt'"", "" 'Ian Holm'""]",Jan Pinkava,2007,06,315.815212
119,150000000,"['Action', 'Crime', 'Drama']","['himalaya', 'martial arts', 'dc comics', 'crime fighter', 'secret identity', 'undercover', 'hero', 'loss of father', 'society', 'gotham city', 'vigilante', 'superhero', 'based on comic book', 'rivalry', 'tragic hero', 'ninja', 'good vs evil', 'crime', 'super powers', 'haunted by the past', 'evil doctor', 'escapade', 'master villain', 'fighting crime', 'unfulfillment', 'love and romance', 'unfulfilled love']","Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",115.040024,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']","['United Kingdom', 'United States of America']",2005-06-10,374218673,140.0,"['English', 'اردو', '普通话']",Evil fears the knight.,7.5,7359,"[""['Christian Bale'"", "" 'Michael Caine'""]",Christopher Nolan,2005,06,149.47911533333334
120,150000000,"['Family', 'Animation']","['africa', 'jealousy', 'dance', 'hunger', 'lion', 'zoo', 'hippopotamus', 'chimp', 'penguin', 'volcano', 'madagascar', 'airplane', 'zebra', 'sequel', 'shark', 'imax', 'duringcreditsstinger']","Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",44.141021,['DreamWorks Animation'],['United States of America'],2008-10-30,603900354,89.0,"['English', 'Italiano', 'ภาษาไทย']",Still together. Still lost!,6.2,1810,"[""['Ben Stiller'"", "" 'Jada Pinkett Smith'""]",Eric Darnell,2008,10,302.600236
121,150000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']","['museum', 'theodore roosevelt', 'duringcreditsstinger', 'amelia earhart', 'smithsonian']","Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",81.781591,"['Twentieth Century Fox Film Corporation', '1492 Pictures', 'Dune Entertainment', '21 Laps Entertainment', 'Museum Canada Productions', 'Moving Picture Company (MPC)']","['United States of America', 'Canada']",2009-05-20,413106170,105.0,['English'],When the lights go off the battle is on.,5.9,1971,"[""['Ben Stiller'"", "" 'Amy Adams'""]",Shawn Levy,2009,05,175.40411333333333
122,150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","['corruption', 'mutant', 'boxer', 'army', 'marvel comic', 'superhero', 'aftercreditsstinger', 'duringcreditsstinger']","After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",5.954333999999999,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Seed Productions', 'Bad Hat Harry Productions', 'Big Screen Productions', 'Marvel Enterprises']",['United States of America'],2009-04-28,373062864,107.0,['English'],Witness the Origin.,6.2,4021,"[""['Hugh Jackman'"", "" 'Liev Schreiber'""]",Gavin Hood,2009,04,148.708576
